Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2020-04-25 01-PM,ETHEUR,182.3,182.3,179.44,179.67,1.001,181.99
2020-04-25 12-PM,ETHEUR,179.99,182.3,179.99,182.3,0.5848,106.61
2020-04-25 11-AM,ETHEUR,178.44,180.63,178.44,179.99,8.196,1476.97
2020-04-25 10-AM,ETHEUR,178.44,178.44,178.44,178.44,0.0,0.0
2020-04-25 09-AM,ETHEUR,180.44,180.44,178.44,178.44,0.1193,21.28
2020-04-25 08-AM,ETHEUR,180.21,180.44,180.21,180.44,0.1917,34.59
2020-04-25 07-AM,ETHEUR,186.19,186.19,180.21,180.21,0.1206,21.73
2020-04-25 06-AM,ETHEUR,178.57,186.19,178.57,186.19,14.02,2544.84
2020-04-25 05-AM,ETHEUR,172.3,178.57,172.3,178.57,11.29,2009.85
2020-04-25 04-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-25 03-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-25 02-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-25 01-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-25 12-AM,ETHEUR,172.3,172.3,172.3,172.3,0.0,0.0
2020-04-24 11-PM,ETHEUR,172.2,175.43,172.2,172.3,0.2478,43.08
2020-04-24 10-PM,ETHEUR,175,175,172.2,172.2,3.691,644.63
2020-04-24 09-PM,ETHEUR,176.8,176.8,175,175,1.754,306.98
2020-04-24 08-PM,ETHEUR,176.8,176.8,176.8,176.8,0.0,0.0
2020-04-24 07-PM,ETHEUR,176.8,176.8,176.8,176.8,0.0,0.0
2020-04-24 06-PM,ETHEUR,176.8,176.8,176.8,176.8,0.0,0.0
2020-04-24 05-PM,ETHEUR,172.2,176.8,172.2,176.8,11.8,2085.36
2020-04-24 04-PM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-24 03-PM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-24 02-PM,ETHEUR,173.85,173.85,172.2,172.2,1.584,272.76
2020-04-24 01-PM,ETHEUR,173.85,173.85,173.85,173.85,0.0,0.0
2020-04-24 12-PM,ETHEUR,173.85,173.85,173.85,173.85,0.0,0.0
2020-04-24 11-AM,ETHEUR,176.73,176.73,173.85,173.85,0.02888,5.02
2020-04-24 10-AM,ETHEUR,173.87,176.73,173.87,176.73,0.08,14.14
2020-04-24 09-AM,ETHEUR,176.66,176.66,173.87,173.87,0.1751,30.52
2020-04-24 08-AM,ETHEUR,176,176.66,176,176.66,0.08706,15.38
2020-04-24 07-AM,ETHEUR,172.2,176,172.2,176,1.78,313.36
2020-04-24 06-AM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-24 05-AM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-24 04-AM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-24 03-AM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-24 02-AM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-24 01-AM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-24 12-AM,ETHEUR,172.2,172.2,172.2,172.2,0.0,0.0
2020-04-23 11-PM,ETHEUR,175.6,175.6,172.2,172.2,4.865,841.51
2020-04-23 10-PM,ETHEUR,175.6,175.6,175.6,175.6,0.0,0.0
2020-04-23 09-PM,ETHEUR,175.24,175.88,175.24,175.6,3.149,553.16
2020-04-23 08-PM,ETHEUR,177.16,177.16,175.16,175.24,0.6415,112.37
2020-04-23 07-PM,ETHEUR,176.52,177.16,176.52,177.16,4.009,709.44
2020-04-23 06-PM,ETHEUR,177.71,177.71,174.34,176.52,1.664,292.08
2020-04-23 05-PM,ETHEUR,174.44,177.71,174.44,177.71,9.625,1703.56
2020-04-23 04-PM,ETHEUR,176,176,174,174.44,19.51,3409.42
2020-04-23 03-PM,ETHEUR,176,176,176,176,0.0,0.0
2020-04-23 02-PM,ETHEUR,172.48,176,172.2,176,15.45,2681.59
2020-04-23 01-PM,ETHEUR,169.85,172.48,169.85,172.48,10.07,1736.35
2020-04-23 12-PM,ETHEUR,171.78,171.78,169.85,169.85,1.001,169.94
2020-04-23 11-AM,ETHEUR,170.95,171.78,170.95,171.78,0.6574,112.93
2020-04-23 10-AM,ETHEUR,170.95,170.95,170.95,170.95,0.0,0.0
2020-04-23 09-AM,ETHEUR,167.12,170.95,167.12,170.95,10.71,1830.37
2020-04-23 08-AM,ETHEUR,166.74,167.13,166.74,167.12,16.84,2813.95
