Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-04-23 11-AM,BTCEUR,6588.36,6699.97,6588.36,6678,87.27,580419.02
2020-04-23 10-AM,BTCEUR,6577.99,6659.19,6577.99,6588.36,0.1845,1224.15
2020-04-23 09-AM,BTCEUR,6581.33,6649.99,6571.99,6577.99,0.6092,4020.21
2020-04-23 08-AM,BTCEUR,6572.82,6581.33,6553.52,6581.33,0.03167,207.94
2020-04-23 07-AM,BTCEUR,6531.76,6629.99,6511.38,6572.82,1.377,9086.65
2020-04-23 06-AM,BTCEUR,6575.99,6578.29,6517,6531.76,0.7044,4610.88
2020-04-23 05-AM,BTCEUR,6596.29,6596.29,6575.99,6575.99,0.04203,276.43
2020-04-23 04-AM,BTCEUR,6602.42,6602.42,6568.56,6596.29,0.03814,251.39
2020-04-23 03-AM,BTCEUR,6609.25,6621.83,6597.61,6602.42,1.203,7963.98
2020-04-23 02-AM,BTCEUR,6631.7,6662.76,6601.65,6609.25,0.3075,2046.93
2020-04-23 01-AM,BTCEUR,6585.58,6631.7,6579.85,6631.7,0.09226,609.37
2020-04-23 12-AM,BTCEUR,6592.5,6596.29,6582.15,6585.58,0.1883,1240.8
2020-04-22 11-PM,BTCEUR,6582.83,6592.5,6579.21,6592.5,0.0304,200.16
2020-04-22 10-PM,BTCEUR,6626.92,6626.92,6555.57,6582.83,0.1063,698.28
2020-04-22 09-PM,BTCEUR,6582.16,6635.01,6575.03,6626.92,0.743,4921.69
2020-04-22 08-PM,BTCEUR,6590,6590,6567.74,6582.16,0.6071,3993.78
2020-04-22 07-PM,BTCEUR,6584.99,6646.25,6570.69,6590,1.207,7961.94
2020-04-22 06-PM,BTCEUR,6568.99,6675.19,6564.21,6584.99,2.613,17290.63
2020-04-22 05-PM,BTCEUR,6611.24,6635.41,6568.99,6568.99,0.8842,5838.68
2020-04-22 04-PM,BTCEUR,6633.63,6650,6569.11,6611.24,0.1854,1224.61
2020-04-22 03-PM,BTCEUR,6577.56,6643.3,6570.25,6633.63,0.4972,3290.3
2020-04-22 02-PM,BTCEUR,6531.37,6594.68,6521.51,6577.56,4.725,30978.89
2020-04-22 01-PM,BTCEUR,6434.77,6572.62,6434.77,6531.37,2.051,13334.51
2020-04-22 12-PM,BTCEUR,6439.82,6440.78,6434.02,6434.77,1.771,11403.65
2020-04-22 11-AM,BTCEUR,6432.07,6537.11,6383.88,6439.82,0.695,4496.07
2020-04-22 10-AM,BTCEUR,6430.47,6525.6,6427.12,6432.07,83.51,543132.84
2020-04-22 09-AM,BTCEUR,6476.25,6494.55,6403.12,6430.47,0.2226,1439.57
2020-04-22 08-AM,BTCEUR,6412.21,6492.31,6368.35,6476.25,2.057,13320.29
2020-04-22 07-AM,BTCEUR,6386.42,6472.81,6386.42,6412.21,0.2257,1456.33
2020-04-22 06-AM,BTCEUR,6352.98,6400.69,6352.98,6386.42,0.04439,283.15
2020-04-22 05-AM,BTCEUR,6344.95,6359.17,6341.35,6352.98,0.08382,531.76
2020-04-22 04-AM,BTCEUR,6331.79,6356.66,6331.79,6344.95,0.3832,2431.75
2020-04-22 03-AM,BTCEUR,6354,6408.41,6331.79,6331.79,0.4301,2748.74
2020-04-22 02-AM,BTCEUR,6322.99,6354,6322.99,6354,0.1519,961.62
2020-04-22 01-AM,BTCEUR,6318.94,6325.69,6305.33,6322.99,0.1029,649.7
2020-04-22 12-AM,BTCEUR,6350.18,6350.25,6318.94,6318.94,0.4809,3043.19
2020-04-21 11-PM,BTCEUR,6363.46,6441.76,6346,6350.18,1.507,9602.1
2020-04-21 10-PM,BTCEUR,6363.02,6372.95,6362.86,6363.46,0.148,942.14
2020-04-21 09-PM,BTCEUR,6356.32,6363.02,6353.47,6363.02,0.1855,1179.68
2020-04-21 08-PM,BTCEUR,6380.65,6414.32,6350.18,6356.32,0.4688,2997.98
2020-04-21 07-PM,BTCEUR,6396.62,6439.42,6380.64,6380.65,0.6206,3961.77
2020-04-21 06-PM,BTCEUR,6407.67,6457.17,6385.27,6396.62,0.12,768.35
2020-04-21 05-PM,BTCEUR,6330.03,6448.8,6330.03,6407.67,0.09829,629.11
